date,q,k,etat_trafic
2015-01-01,1134.1906612118871,4.76271593374445,1.039735764582045
2015-01-02,1230.1381499497338,5.628852732336736,1.0874518972213023
2015-01-03,1175.3886526419883,5.535599792879165,1.070028999387446
2015-01-04,1166.3371561190777,4.826593738549614,1.04273556741987
2015-01-05,1333.9187529322576,5.931411636470885,1.0985676649515592
2015-01-06,1364.4382646981646,7.273973677689353,1.1668550360450476
2015-01-07,1393.623193502141,6.925248833176376,1.1458388821018848
2015-01-08,858.3568877394082,3.163100369257096,1.0045187704711511
2015-01-09,1323.7477142288658,8.03693448696083,1.207384259123405
2015-01-10,1263.7480478443067,5.855257555261407,1.0821000686123747
2015-01-11,1114.2601453208,4.235532561057437,1.0256502336838704
2015-01-12,1381.10403890869,7.298697564829784,1.172804427816342
2015-01-13,1395.8821210483611,8.31745209902581,1.225922896364567
2015-01-14,1370.1550239876274,8.299582054620934,1.2144371127577636
2015-01-15,899.7258321119215,3.713321147360108,1.0093356279019543
2015-01-16,1504.5402499561762,9.517147846907696,1.2732514787383544
2015-01-17,1359.6566786127046,6.594461167917633,1.1188499255470696
2015-01-18,1277.838047268314,5.969449280590053,1.1081992589020722
2015-01-19,1375.0897898761662,7.146300305435341,1.1627912023606737
2015-01-20,1407.7002197366417,7.872487160320438,1.199331005345284
2015-01-21,1427.4528484502366,8.263882273971632,1.222655234559981
2015-01-22,1111.4689868217104,4.61792786843256,1.0456277783063497
2015-01-23,1467.3474695329696,9.147080382624283,1.263967842057858
2015-01-24,1333.9264180869832,6.664101684959527,1.127179508547257
2015-01-25,1269.7120046150014,5.955275382618792,1.0954350166166291
2015-01-26,1736.6810969142916,11.1994555617706,1.3232402453556782
2015-01-27,1390.6727283133623,7.734202692002901,1.1928411667220662
2015-01-28,1399.544726787885,8.57371583446437,1.2378599925219476
2015-01-29,893.2675098141176,4.562394691159844,1.0383205734340717
2015-01-30,1446.656869869665,9.345217940264408,1.2700627751325613
2015-01-31,1353.5233538276375,6.827628611607828,1.1313176693263955
2015-02-01,1330.9196923268964,6.334704362278667,1.0705970025833524
2015-02-05,1474.1082314695243,9.610970212836468,1.2913315808144012
2015-02-06,1426.6483572885718,9.446004060654584,1.2769866453212062
2015-02-07,1373.2075035506953,7.724727095089817,1.177734089971242
2015-02-08,1295.2705367351784,6.220640649805224,1.1180085525967192
2015-02-09,1377.8567794550804,7.455304388761306,1.1776090928685614
2015-02-10,1415.0369815970002,8.45744042421621,1.2384875139411342
2015-02-11,1440.5498345701392,9.026968411644912,1.261449730505282
2015-02-12,1128.5859467879072,5.0424991370732055,1.0629325953084456
2015-02-13,1470.886846370119,9.22430020609834,1.2669135051640412
2015-02-14,1346.2230412761005,6.970540790665031,1.130641091331474
2015-02-15,1273.7674602675388,5.606374800918052,1.0750774428522598
2015-02-16,1396.549828497551,7.101967250047606,1.1681623038605806
2015-02-17,1386.7303598666674,8.301817956944289,1.2332116518884535
2015-02-18,1455.0621437729064,7.6706476278065185,1.187273693012408
2015-02-19,1103.8591006803638,4.221930923790371,1.0122120721304395
2015-02-20,1378.5795540867712,9.309386826295606,1.278905006056973
2015-02-21,1307.8098401244006,6.223025994832051,1.0967420853640757
2015-02-22,1262.844567951446,6.084650738182023,1.1071699508721946
2015-02-23,1340.4562405466706,7.079438591958771,1.1690234248426232
2015-02-24,1368.754828074556,7.761170561179675,1.2005088806661852
2015-02-25,1361.1304650771744,8.169644253979495,1.2225024413500534
2015-02-26,941.6414935277642,4.752842795317471,1.0481946284146428
2015-02-27,1440.40114418513,8.697673000304643,1.2416630683870888
2015-02-28,1354.6433248528851,7.137688815645376,1.150465344406258
2015-03-01,1387.588993672356,6.13821136688519,1.058409954875852
2015-03-05,1441.613379253329,9.212734238840628,1.278642878625067
2015-03-06,1488.631891432463,9.756156216159695,1.295015711836798
2015-03-07,1414.327758628886,7.356680952616243,1.1621924107454038
2015-03-08,1341.9494167660432,7.037259508844939,1.160443325449957
2015-03-09,1422.7776223158844,7.574087281096576,1.1862200127693876
2015-03-10,1395.3622835121098,8.424169941131835,1.2281930504937055
2015-03-11,1430.504268687884,8.328736712933255,1.2232772606102231
2015-03-12,1128.7548484584222,4.570138173305415,1.0255333169287253
2015-03-13,1502.1364857648691,8.677290540172287,1.2335337879459527
2015-03-14,1396.0146032322616,6.390509329387768,1.1043161898744775
2015-03-15,1290.230654960007,5.531721176714209,1.079087945729702
2015-03-16,1406.653637686195,7.691595945470361,1.1927426590608317
2015-03-17,1436.1650887873418,8.27194721728984,1.2308721965865468
2015-03-18,1462.062092332884,8.605984183587333,1.2426103157122113
2015-03-19,1076.2113898834282,4.746935009234441,1.0301890145288768
2015-03-20,1498.5968178681323,9.106614393017262,1.2588465375050897
2015-03-21,1377.8522838074605,6.3472717244956085,1.1008438643701572
2015-03-22,1301.91484513321,5.581801426429927,1.081734696127446
2015-03-23,1289.783854580522,5.541949606873037,1.067219921229721
2015-03-24,1371.3806471556886,9.415604850830375,1.2937737712875343
2015-03-25,1448.1956467133143,8.526538578953906,1.2382225835093963
2015-03-26,960.6419198905052,4.485097453390868,1.030951948821623
2015-03-27,1537.0619815824523,8.83612917875614,1.2440284866578912
2015-03-28,1365.690382290754,7.263042675829783,1.1529336536667152
2015-03-29,1352.7307418576793,6.19801848250934,1.1012876523495885
2015-03-30,1446.5889142050785,7.846192957222951,1.1989448557221691
2015-03-31,1435.1760880910244,8.486183922134922,1.2346519483814715
2015-04-01,992.5358307426006,4.008468249664223,1.0164439567275227
