date,bike
2016-01-01,356.25
2016-01-02,444.84375
2016-01-03,236.5625
2016-01-04,888.0208333333333
2016-01-05,870.1041666666667
2016-01-06,950.0
2016-01-07,686.875
2016-01-08,1044.5833333333333
2016-01-09,831.875
2016-01-10,470.625
2016-01-11,803.59375
2016-01-12,935.5208333333333
2016-01-13,1020.0
2016-01-14,723.4895833333335
2016-01-15,941.9270833333333
2016-01-16,712.1875
2016-01-17,496.82291666666663
2016-01-18,805.78125
2016-01-19,823.8020833333333
2016-01-20,810.0
2016-01-21,863.2291666666667
2016-01-22,686.71875
2016-01-23,637.5
2016-01-24,595.8854166666666
2016-01-25,1028.6979166666667
2016-01-26,1548.072916666667
2016-01-27,727.96875
2016-01-28,926.875
2016-01-29,828.4895833333333
2016-01-30,327.91666666666663
2016-01-31,420.46875
2016-02-01,1093.75
2016-02-02,1000.0520833333333
2016-02-03,973.9583333333333
2016-02-04,987.3958333333333
2016-02-05,1238.90625
2016-02-06,1009.5833333333333
2016-02-07,904.7916666666667
2016-02-08,772.4479166666667
2016-02-09,583.9583333333334
2016-02-10,951.71875
2016-02-11,938.0729166666667
2016-02-12,691.1979166666665
2016-02-13,341.5625
2016-02-14,433.48958333333337
2016-02-15,867.65625
2016-02-16,1007.7604166666667
2016-02-17,909.84375
2016-02-18,759.53125
2016-02-19,928.0208333333333
2016-02-20,586.8229166666666
2016-02-21,980.6770833333333
2016-02-22,739.4270833333335
2016-02-23,844.6875
2016-02-24,815.625
2016-02-25,877.3958333333333
2016-02-26,810.0520833333335
2016-02-27,634.4791666666666
2016-02-28,843.28125
2016-02-29,775.78125
2016-03-01,649.1145833333335
2016-03-02,1312.03125
2016-03-03,718.8020833333335
2016-03-04,514.1145833333334
2016-03-05,494.01041666666663
2016-03-06,525.8333333333334
2016-03-07,564.84375
2016-03-08,797.7604166666667
2016-03-09,554.53125
2016-03-10,799.7916666666667
2016-03-11,1049.21875
2016-03-12,896.7708333333333
2016-03-13,1020.46875
2016-03-14,1120.3125
2016-03-15,1097.4479166666667
2016-03-16,990.2604166666667
2016-03-17,1284.0625
2016-03-18,1116.6666666666667
2016-03-19,729.2708333333335
2016-03-20,575.2083333333334
2016-03-21,924.0104166666667
2016-03-22,1024.9479166666667
2016-03-23,1153.75
2016-03-24,1228.0208333333333
2016-03-25,1130.5208333333333
2016-03-26,1003.6458333333333
2016-03-27,633.2291666666666
2016-03-28,695.2604166666665
2016-03-29,1762.34375
2016-03-30,809.7395833333333
2016-03-31,545.1041666666666
2016-04-01,1280.625
2016-04-02,760.3645833333333
2016-04-03,1169.5833333333333
2016-04-04,1191.6666666666667
2016-04-05,1378.59375
2016-04-06,1726.875
2016-04-07,1208.59375
2016-04-08,1468.020833333333
2016-04-09,949.1145833333333
2016-04-10,1165.4166666666667
2016-04-11,998.0208333333333
2016-04-12,1696.354166666667
2016-04-13,1276.9791666666667
2016-04-14,1376.927083333333
2016-04-15,1256.25
2016-04-16,920.4166666666667
2016-04-17,800.3125
2016-04-18,1211.6666666666667
2016-04-19,1605.9375
2016-04-20,1531.614583333333
2016-04-21,1468.697916666667
2016-04-22,1071.6666666666667
2016-04-23,980.46875
2016-04-24,554.0625
2016-04-25,881.4583333333333
2016-04-26,829.375
2016-04-27,1001.6666666666667
2016-04-28,1134.6354166666667
2016-04-29,1119.21875
2016-04-30,806.3020833333335
2016-05-01,963.28125
2016-05-02,1876.6145833333335
2016-05-03,1480.2083333333335
2016-05-04,1711.875
2016-05-05,1295.572916666667
2016-05-06,1413.59375
2016-05-07,1168.6458333333333
2016-05-08,1159.375
2016-05-09,1201.6666666666667
2016-05-10,974.53125
2016-05-11,1082.7083333333333
2016-05-12,1154.21875
2016-05-13,1217.9166666666667
2016-05-14,866.6666666666667
2016-05-15,1280.260416666667
2016-05-16,916.8229166666667
2016-05-17,1479.53125
2016-05-18,1145.5208333333333
2016-05-19,1132.7083333333333
2016-05-20,1316.666666666667
2016-05-21,1278.125
2016-05-22,425.625
2016-05-23,620.3125
2016-05-24,1761.7708333333335
2016-05-25,1881.7708333333335
2016-05-26,1760.8333333333335
2016-05-27,1656.4583333333335
2016-05-28,1057.2395833333333
2016-05-29,731.5104166666665
2016-05-30,436.40625
2016-05-31,514.1145833333334
2016-06-01,1153.3333333333333
2016-06-02,1121.4583333333333
2016-06-03,1318.177083333333
2016-06-04,1119.375
2016-06-05,1222.7604166666667
2016-06-06,1467.1875
2016-06-07,1718.1770833333335
2016-06-08,1723.9583333333335
2016-06-09,1864.1666666666665
2016-06-10,1815.9375
2016-06-11,1166.1458333333333
2016-06-12,703.4895833333335
2016-06-13,1315.729166666667
2016-06-14,1428.4895833333335
2016-06-15,1400.364583333333
2016-06-16,1328.854166666667
2016-06-17,1359.21875
2016-06-18,918.75
2016-06-19,1058.75
2016-06-20,842.1354166666667
2016-06-21,1372.291666666667
2016-06-22,1717.2395833333335
2016-06-23,1662.7604166666665
2016-06-24,1611.1979166666665
2016-06-25,1273.9583333333333
2016-06-26,1006.40625
2016-06-27,1193.8541666666667
2016-06-28,1627.6041666666665
2016-06-29,1708.9583333333335
2016-06-30,1442.760416666667
2016-07-01,1476.5104166666665
2016-07-02,1149.6354166666667
2016-07-03,782.6041666666667
2016-07-04,1473.541666666667
2016-07-05,1617.2916666666665
2016-07-06,1697.03125
2016-07-07,1798.9583333333335
2016-07-08,1690.2604166666665
2016-07-09,1361.875
2016-07-10,1187.8645833333333
2016-07-11,1487.5
2016-07-12,1344.0625
2016-07-13,1229.1666666666667
2016-07-14,1065.6770833333333
